"Name";"Domain name";"IP Address";"NumCpu";"MemoryGB";"SSD/GB";"SAS/GB";"NLSAS/GB";"RAW/GB";"Organization";"Organisation prefix";"Services";"PowerState";"Responsible"
"atl-estaff";"srvestaff.gw-ad.local";"192.168.254.118";"2";"8";;;"200";"";"Литвуд";"ЛН";"Estaff";"PoweredOn";""
"host-ask-bridge";"host-ask-bridge";"172.19.180.114|fe80::250:56ff:feae:237f|10.0.0.8|fe80::250:56ff:feae:a721";"2";"2";;"100";;"";"ТД Аскона";"ТДА-ВЭБ";"Web-ASK";"PoweredOn";""
"ask-web-ha-price";"ha-price";"192.168.253.10|fe80::250:56ff:feae:c99a|172.19.0.1|fe80::42:81ff:fe2a:19b5|172.18.0.1|fe80::42:7bff:feef:503";"2";"2";;"100";;"";"ТД Аскона";"ТДА-ОПТ";"WEB";"PoweredOn";""
"atl-srv-dc-01";"srv-dc-01.gw-ad.local";"192.168.254.145";"4";"10";;"100";;"";"";"";"";"PoweredOn";""
"td-1c-web";"1c-web-td.gw-ad.local";"192.168.254.17";"2";"6";"100";;;"";"Биёса, ООО";"БР";"WEB 1C";"PoweredOn";""
"host-ask-dev-elasticsearch";"host-ask-dev-es";"10.0.0.21|fe80::250:56ff:fe85:ddfa|172.19.180.117|fe80::250:56ff:fe85:bed9";"12";"16";;"100";;"";"ТД Аскона";"ТДА-ВЭБ";"Web-ASK";"PoweredOn";""
"atl-rdtsh-01";"atl-rdtsh-01.gw-ad.local";"";"12";"30";"300";;;"";"АТЛАНТА";"К";"";"PoweredOff";""
"ss-ws-01";"ss-ws-01.gw-ad.local";"";"2";"4";;;"200";"";"Софт Слип ООО";"СС";"";"PoweredOff";""
"dbg-ws-01";"dbg-ws-01.gw-ad.local";"";"2";"4";;;"200";"";"Курорт Доброград ООО";"АТ";"WS";"PoweredOff";""
"tda-blockchain-test-02";"blockchain-test-2";"";"1";"4";;;"150";"";"Аскона-Тех";"ЛН-ТЕХ";"Blockchain";"PoweredOff";""
"HostingGW";"localhost.localdomain";"";"1";"2";;"100";;"";"Курорт Доброград";"АТ";"Web";"PoweredOff";""
"atl-sharepoint-2013-mssql";"sharesql.gw-ad.local";"192.168.254.55|fe80::4028:8108:9153:17d9";"8";"16";;"6050";;"";"АТЛАНТА";"К";"MS SQL";"PoweredOn";""
"host-ask-web-infobus-01";"host-ask-web-infobus-01";"172.18.0.1|10.0.0.25|fe80::250:56ff:fe85:e840|192.168.128.1|fe80::42:10ff:fe58:ab19|172.16.58.1|fe80::42:d2ff:fe80:d9fd|172.16.57.1|172.19.180.119|fe80::250:56ff:fe85:7bb8|172.29.0.1|fe80::42:b5ff:fe4d:4a63";"8";"12";;"120";;"";"ТД Аскона";"ТДА-ВЭБ";"Web-ASK";"PoweredOn";""
"ask-cognos-dwh-sql";"AT-COGNOS-DWH.hcaskona.com";"192.168.10.120";"40";"382";"13766";"4096";;"900 800";"Аскона-Век";"АВ-БСП";"Cognos";"PoweredOn";""
"atl-rds-ts-04-oof-test";"ts04t.gw-ad.local";"";"6";"20";;;"350";"";"АТЛАНТА";"К";"RDS";"PoweredOff";"SmetaninAV"
"atl-rds-ts-08";"TS08.gw-ad.local";"";"16";"78";;"460";;"";"АТЛАНТА";"К";"RDS";"PoweredOff";"SmetaninAV"
"ltv-qlik";;"";"4";"16";;;"100";"";"АТЛАНТА";"К";"";"PoweredOff";""
